"","category","filename"
"1","2011","G20-2011-obama"
"2","2012","G20-2012-obama"
"3","2010","G20-2010-obama"
"4","2013","G20-2013-obama"
"5","2014","G20-2014"
"6","2015","G20-2015"
"7","2016","G20-2016"
"8","2018","G20-2018"
"9","2019","G20-2019"
"10","obama","G20-2010-obama"
"11","obama","G20-2011-obama"
"12","obama","G20-2012-obama"
"13","obama","G20-2013-obama"
"14","obama","G20-2014-obama"
"15","G20","G20-2010-obama"
"16","G20","G20-2011-obama"
"17","G20","G20-2012-obama"
"18","G20","G20-2013-obama"
"19","G20","G20-2014-obama"
"20","G20","G20-2014"
"21","G20","G20-2015"
"22","G20","G20-2016"
"23","G20","G20-2018"
"24","G20","G20-2019"
"25","2011","G20-2011-nicolas-sarkozy"
"26","G20","G20-2011-nicolas-sarkozy"
